logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,標識情報の配列数,標識情報ID,shape,type,is_digital,緯度[deg],経度[deg],楕円体高[m],Sign Face Azimuth[deg],Sign Face Elevation[deg],height[m],width[m]
155453,0x187e0,False,255,2463216,2474835,31,1,131521862928507682,0,78,0,34.1156294369408,-117.97681149979513,95.09700000000001,233.70000000000002,1.0,1.53,1.23
158109,0x18857,False,362,1158951,1170570,31,1,131521862928507682,0,78,0,34.1156294369408,-117.97681149979513,95.09700000000001,233.70000000000002,1.0,1.53,1.23
339898,0x18b7e,False,255,2510996,2541058,15,1,37410024142480215,0,17,0,34.11854902145419,-117.97245106612623,113.99600000000001,233.20000000000002,0.1,1.81,6.75
341939,0x18b99,False,362,1206731,1236793,15,1,37410024142480215,0,17,0,34.11854902145419,-117.97245106612623,113.99600000000001,233.20000000000002,0.1,1.81,6.75
596156,0x18feb,False,255,2571060,2601044,15,3,37410140106597290,0,17,0,34.1228294079478,-117.96776147511969,124.024,221.10000000000002,-0.1,2.38,6.62
596156,0x18feb,False,255,2571060,2601044,15,3,37410178761302954,0,17,0,34.12278674406064,-117.96770322089263,123.83500000000001,221.4,0.4,2.7800000000000002,6.94
596156,0x18feb,False,255,2571060,2601044,15,3,37410217416008618,8,16,0,34.12273544681322,-117.9676246824599,120.099,214.70000000000002,-21.900000000000002,0.96,1.03
598197,0x19007,False,362,1266795,1296779,15,3,37410140106597290,0,17,0,34.1228294079478,-117.96776147511969,124.024,221.10000000000002,-0.1,2.38,6.62
598197,0x19007,False,362,1266795,1296779,15,3,37410178761302954,0,17,0,34.12278674406064,-117.96770322089263,123.83500000000001,221.4,0.4,2.7800000000000002,6.94
598197,0x19007,False,362,1266795,1296779,15,3,37410217416008618,8,16,0,34.12273544681322,-117.9676246824599,120.099,214.70000000000002,-21.900000000000002,0.96,1.03
